('titanic_example', 'learn2clean', 'CART', 'Survived', None, 'LOF -> CART', 'accuracy', 0.7235772357723578, 234.34766507148743)
('titanic_example', 'learn2clean', 'LDA', 'Survived', None, 'ZS -> LOF -> LDA', 'accuracy', 0.7398373983739838, 2.67972993850708)
('titanic_example', 'learn2clean', 'NB', 'Survived', None, 'Tree -> IQR -> NB', 'accuracy', 0.7052631578947368, 2.9261510372161865)
('titanic_example', 'random', 'CART', 'Survived', None, 'MICE -> MF -> LC -> ZSB -> CART', 'accuracy', ({'quality_metric': 0.6902356902356902}, 13.527941226959229))
('titanic_example', 'random', 'LDA', 'Survived', None, 'MF -> Tree -> ZSB -> ED -> LDA', 'accuracy', ({'quality_metric': 0.6105499438832772}, 0.22495388984680176))
('titanic_example', 'random', 'CART', 'Survived', None, 'KNN -> CART', 'accuracy', ({'quality_metric': 0.6363636363636364}, 14.609788179397583))
('titanic_example', 'random', 'LDA', 'Survived', None, 'EM -> DS -> WR -> IQR -> ED -> LDA', 'accuracy', ({'quality_metric': 0.5970819304152637}, 0.30986523628234863))
('titanic_example', 'random', 'NB', 'Survived', None, 'DS -> LOF -> ED -> NB', 'accuracy', ({'quality_metric': 0.5853658536585366}, 0.12041091918945312))
('titanic_example', 'random', 'CART', 'Survived', None, 'MM -> LC -> ZSB -> CART', 'accuracy', ({'quality_metric': 0.6876750700280112}, 11.296579837799072))
('titanic_example', 'random', 'LDA', 'Survived', None, 'MICE -> WR -> ZSB -> ED -> LDA', 'accuracy', ({'quality_metric': 0.6150392817059483}, 0.18587803840637207))
('titanic_example', 'random', 'NB', 'Survived', None, 'MICE -> ZS -> Tree -> NB', 'accuracy', ({'quality_metric': 0.6801346801346801}, 0.17720293998718262))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7016806722689075}, 14.218555212020874))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7002801120448179}, 0.018539905548095703))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6680672268907563}, 0.03400993347167969))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'EM -> AD -> CART', 'accuracy', 0.720474406991261, 619.5482840538025)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'EM -> AD -> ZSB -> LDA', 'accuracy', 0.7372549019607844, 5.310129880905151)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'MM -> LC -> ZSB -> NB', 'accuracy', 0.7015263644773359, 5.321993827819824)
('titanic_example', 'random', 'CART', 'Survived', None, 'KNN -> MM -> WR -> ZSB -> CART', 'accuracy', ({'quality_metric': 0.6259132420091323}, 30.46262216567993))
('titanic_example', 'random', 'LDA', 'Survived', None, 'KNN -> MF -> WR -> ZSB -> LDA', 'accuracy', ({'quality_metric': 0.6368631368631368}, 2.0090439319610596))
('titanic_example', 'random', 'NB', 'Survived', None, 'MICE -> DS -> Tree -> ZSB -> NB', 'accuracy', ({'quality_metric': 0.7054019457245264}, 0.3784608840942383))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 30.71838903427124))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.03789877891540527))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.0658881664276123))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'LOF -> CART', 'accuracy', 0.7204166666666667, 401.97294211387634)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'ZS -> LOF -> LC -> ZSB -> LDA', 'accuracy', 0.7246376811594203, 3.644658088684082)
