('house_example2', 'learn2clean', 'LDA', 'SaleCondition', None, 'ZSB -> ED -> LDA', 'accuracy', 0.8241517694272164, 4.3612353801727295)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6120754716981132, 4.3143150806427)
('house_example2', 'learn2clean', 'LASSO', 'SalePrice', None, 'IQR -> LASSO', 'MSE', 535780519.09053785, 9.579675197601318)
('house_example2', 'learn2clean', 'LASSO', 'SalePrice', None, 'IQR -> LASSO', 'MSE', 535780519.09047174, 8.78518295288086)
('house_example2', 'learn2clean', 'OLS', 'SalePrice', None, 'WR -> IQR -> OLS', 'MSE', 3990994387.1171007, 3.8543858528137207)
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'Tree -> ED -> MARS', 'MSE', 1.4265787837293549, 102.13922715187073)
('house_example2', 'learn2clean', 'LDA', 'SaleCondition', None, 'ZSB -> ED -> LDA', 'accuracy', 0.8241517694272164, 4.588683128356934)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6120754716981132, 4.637954950332642)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'MM -> LASSO', 'MSE', ({'quality_metric': 1369429490.2711022}, 0.34253811836242676))
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'MM -> LASSO', 'MSE', ({'quality_metric': 1369429490.2711565}, 0.34195613861083984))
('house_example2', 'random', 'OLS', 'SalePrice', None, 'MM -> WR -> LOF -> ED -> OLS', 'MSE', ({'quality_metric': 6344514286.486293}, 0.73801589012146))
('house_example2', 'random', 'MARS', 'SalePrice', None, 'ZS -> Tree -> ED -> MARS', 'MSE', ({'quality_metric': 1.413304412828155}, 3.7925782203674316))
('house_example2', 'no-prep', 'LASSO', 'SalePrice', None, 'LASSO', 'MSE', ({'quality_metric': 1368302034.803517}, 0.27179503440856934))
('house_example2', 'no-prep', 'OLS', 'SalePrice', None, 'OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.04842805862426758))
('house_example2', 'no-prep', 'MARS', 'SalePrice', None, 'MARS', 'MSE', ({'quality_metric': 0.13180375406591996}, 7.822617769241333))
('house_example2', 'no-prep', 'CART', 'SaleCondition', None, 'CART', 'accuracy', ({'quality_metric': 0.8828365878725591}, 99.23292899131775))
('house_example2', 'no-prep', 'LDA', 'SaleCondition', None, 'LDA', 'accuracy', ({'quality_metric': 0.8074683110654334}, 0.09188508987426758))
('house_example2', 'no-prep', 'NB', 'SaleCondition', None, 'NB', 'accuracy', ({'quality_metric': 0.10551558752997602}, 0.12030601501464844))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.2232924236591108, 98.62206888198853)
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 126.62660098075867)
('house_example2', 'learn2clean', 'LDA', 'SaleCondition', None, 'ZSB -> ED -> LDA', 'accuracy', 0.825612307574187, 5.790197134017944)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6113294600136706, 5.80009388923645)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'LC -> IQR -> LASSO', 'MSE', ({'quality_metric': 1542677314.8995385}, 0.21483397483825684))
('house_example2', 'random', 'OLS', 'SalePrice', None, 'OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.0753321647644043))
('house_example2', 'random', 'MARS', 'SalePrice', None, 'DS -> LC -> MARS', 'MSE', ({'quality_metric': 0.2884585653485321}, 7.538163900375366))
('house_example2', 'no-prep', 'LASSO', 'SalePrice', None, 'LASSO', 'MSE', ({'quality_metric': 1368302034.8029606}, 0.5327348709106445))
('house_example2', 'no-prep', 'OLS', 'SalePrice', None, 'OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.043682098388671875))
('house_example2', 'no-prep', 'MARS', 'SalePrice', None, 'MARS', 'MSE', ({'quality_metric': 0.13182415272055714}, 12.44367527961731))
('house_example2', 'no-prep', 'CART', 'SaleCondition', None, 'CART', 'accuracy', ({'quality_metric': 0.8828343454314362}, 166.6031231880188))
('house_example2', 'no-prep', 'LDA', 'SaleCondition', None, 'LDA', 'accuracy', ({'quality_metric': 0.8160351582855196}, 0.17539310455322266))
('house_example2', 'no-prep', 'NB', 'SaleCondition', None, 'NB', 'accuracy', ({'quality_metric': 0.10413783363931647}, 0.12134718894958496))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 133.02038192749023)
('house_example2', 'learn2clean', 'LDA', 'SaleCondition', None, 'ZSB -> ED -> LDA', 'accuracy', 0.825612307574187, 6.049577951431274)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6113294600136706, 5.1700968742370605)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'IQR -> LASSO', 'MSE', ({'quality_metric': 535981674.029729}, 0.3404848575592041))
('house_example2', 'random', 'OLS', 'SalePrice', None, 'ZS -> IQR -> ED -> OLS', 'MSE', ({'quality_metric': 4883121030.467378}, 0.2958948612213135))
('house_example2', 'random', 'MARS', 'SalePrice', None, 'ZS -> Tree -> ED -> MARS', 'MSE', ({'quality_metric': 0.13180899600692747}, 9.235480070114136))
('house_example2', 'no-prep', 'LASSO', 'SalePrice', None, 'LASSO', 'MSE', ({'quality_metric': 1368302034.8029606}, 0.4130210876464844))
('house_example2', 'no-prep', 'OLS', 'SalePrice', None, 'OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.04084610939025879))
('house_example2', 'no-prep', 'MARS', 'SalePrice', None, 'MARS', 'MSE', ({'quality_metric': 0.13182415272055714}, 9.992855787277222))
('house_example2', 'no-prep', 'CART', 'SaleCondition', None, 'CART', 'accuracy', ({'quality_metric': 0.8828343454314362}, 144.12588596343994))
('house_example2', 'no-prep', 'LDA', 'SaleCondition', None, 'LDA', 'accuracy', ({'quality_metric': 0.8160351582855196}, 0.15918374061584473))
('house_example2', 'no-prep', 'NB', 'SaleCondition', None, 'NB', 'accuracy', ({'quality_metric': 0.10413783363931647}, 0.11206698417663574))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 84.32391405105591)
('house_example2', 'learn2clean', 'LDA', 'SaleCondition', None, 'ZSB -> ED -> LDA', 'accuracy', 0.825612307574187, 4.548636198043823)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6113294600136706, 4.466200113296509)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'ZS -> Tree -> LASSO', 'MSE', ({'quality_metric': 45161978651.49645}, 0.365764856338501))
('house_example2', 'random', 'OLS', 'SalePrice', None, 'ED -> OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.10581207275390625))
('house_example2', 'random', 'MARS', 'SalePrice', None, 'MM -> LOF -> MARS', 'MSE', ({'quality_metric': 0.13312903216275612}, 7.32326602935791))
('house_example2', 'no-prep', 'LASSO', 'SalePrice', None, 'LASSO', 'MSE', ({'quality_metric': 1368302034.8029606}, 0.3545539379119873))
('house_example2', 'no-prep', 'OLS', 'SalePrice', None, 'OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.03058004379272461))
('house_example2', 'no-prep', 'MARS', 'SalePrice', None, 'MARS', 'MSE', ({'quality_metric': 0.13182415272055714}, 7.4238221645355225))
('house_example2', 'no-prep', 'CART', 'SaleCondition', None, 'CART', 'accuracy', ({'quality_metric': 0.8828343454314362}, 110.42999815940857))
('house_example2', 'no-prep', 'LDA', 'SaleCondition', None, 'LDA', 'accuracy', ({'quality_metric': 0.8160351582855196}, 0.11808896064758301))
('house_example2', 'no-prep', 'NB', 'SaleCondition', None, 'NB', 'accuracy', ({'quality_metric': 0.10413783363931647}, 0.07309198379516602))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 80.53621506690979)
('house_example2', 'learn2clean', 'LDA', 'SaleCondition', None, 'ZSB -> ED -> LDA', 'accuracy', 0.825612307574187, 4.182919979095459)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6113294600136706, 4.097415924072266)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'MM -> LASSO', 'MSE', ({'quality_metric': 1369429490.2709088}, 0.3353867530822754))
('house_example2', 'random', 'OLS', 'SalePrice', None, 'ZS -> Tree -> LOF -> OLS', 'MSE', ({'quality_metric': 6319427435.187591}, 0.8786711692810059))
('house_example2', 'random', 'MARS', 'SalePrice', None, 'ZS -> ZSB -> MARS', 'MSE', ({'quality_metric': 0.1278545950741485}, 4.792389154434204))
('house_example2', 'no-prep', 'LASSO', 'SalePrice', None, 'LASSO', 'MSE', ({'quality_metric': 1368302034.8029606}, 0.3158278465270996))
('house_example2', 'no-prep', 'OLS', 'SalePrice', None, 'OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.029249191284179688))
('house_example2', 'no-prep', 'MARS', 'SalePrice', None, 'MARS', 'MSE', ({'quality_metric': 0.13182415272055714}, 6.847848892211914))
('house_example2', 'no-prep', 'CART', 'SaleCondition', None, 'CART', 'accuracy', ({'quality_metric': 0.8828343454314362}, 107.83774995803833))
('house_example2', 'no-prep', 'LDA', 'SaleCondition', None, 'LDA', 'accuracy', ({'quality_metric': 0.8160351582855196}, 0.14976096153259277))
('house_example2', 'no-prep', 'NB', 'SaleCondition', None, 'NB', 'accuracy', ({'quality_metric': 0.10413783363931647}, 0.0771479606628418))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 131.84536910057068)
('house_example2', 'learn2clean', 'LDA', 'SaleCondition', None, 'ZSB -> ED -> LDA', 'accuracy', 0.825612307574187, 4.479885816574097)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6113294600136706, 4.947214841842651)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'DS -> WR -> LOF -> LASSO', 'MSE', ({'quality_metric': 1527572357.799871}, 0.6387279033660889))
('house_example2', 'random', 'OLS', 'SalePrice', None, 'WR -> OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.8593120574951172))
('house_example2', 'random', 'MARS', 'SalePrice', None, 'MM -> ED -> MARS', 'MSE', ({'quality_metric': 0.1318089960069276}, 6.196397066116333))
('house_example2', 'no-prep', 'LASSO', 'SalePrice', None, 'LASSO', 'MSE', ({'quality_metric': 1368302034.8029606}, 0.2976369857788086))
('house_example2', 'no-prep', 'OLS', 'SalePrice', None, 'OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.029772043228149414))
('house_example2', 'no-prep', 'MARS', 'SalePrice', None, 'MARS', 'MSE', ({'quality_metric': 0.13182415272055714}, 6.417038202285767))
('house_example2', 'no-prep', 'CART', 'SaleCondition', None, 'CART', 'accuracy', ({'quality_metric': 0.8828343454314362}, 119.39747285842896))
